,,,,,,,,,,,Boaz's Point Lat,,Boaz's Point Lon,,Boaz's Point Alt,
78,1c:b9:c4:16:ed:38,Ariel_University,6,-71,32.10363048,35.20988177,698.9250664,03/12/2017 09:04,Approx. w-center algo1,,32.10363048,MATCH,35.20988177,MATCH,698.9250664,MATCH
79,1c:b9:c4:16:06:b8,Ariel_University,11,-67,32.10365359,35.20989285,699.1933278,03/12/2017 09:06,Approx. w-center algo1,,32.10365359,MATCH,35.20989285,MATCH,699.1933278,MATCH
80,1c:b9:c4:16:ed:48,Ariel_University,6,-83,32.10366281,35.20990554,699.8775257,03/12/2017 08:55,Approx. w-center algo1,,32.10366281,MATCH,35.20990554,MATCH,699.8775257,MATCH
81,d8:5d:4c:9e:69:22,AUC_4_2_24,1,-78,32.103668,35.20990554,700,03/12/2017 09:03,Approx. w-center algo1,,32.103668,MATCH,35.20990554,MATCH,700,MATCH
82,24:79:2a:2c:5c:18,Ariel_University,11,-81,32.10367975,35.20990936,700,03/12/2017 08:55,Approx. w-center algo1,,32.10367975,MATCH,35.20990936,MATCH,700,MATCH
83,24:79:2a:2b:bd:88,Ariel_University,11,-72,32.10369861,35.20990936,700.944536,03/12/2017 09:06,Approx. w-center algo1,,32.10369861,MATCH,35.20990936,MATCH,700.944536,MATCH
84,24:79:2a:2b:07:b8,Ariel_University,11,-77,32.10370923,35.20990936,701.710776,03/12/2017 09:06,Approx. w-center algo1,,32.10370923,MATCH,35.20990936,MATCH,701.710776,MATCH
85,8c:0c:90:2f:d3:d8,Ariel_University,11,-78,32.10371198,35.20990936,701.8179815,03/12/2017 08:55,Approx. w-center algo1,,32.10371198,MATCH,35.20990936,MATCH,701.8179815,MATCH
86,1c:b9:c4:95:41:77, ,44,-82,32.10371892,35.20991045,702.040903,03/12/2017 08:55,Approx. w-center algo1,,32.10371892,MATCH,35.20991045,MATCH,702.040903,MATCH
87,1c:b9:c4:56:cd:18,Ariel_University,1,-92,32.1037249,35.20993975,702.14288,03/12/2017 08:56,Approx. w-center algo1,,32.1037249,MATCH,35.20993975,MATCH,702.14288,MATCH
88,1c:b9:c4:16:cd:18,IT-MNG,1,-93,32.1037249,35.20994639,702.14288,03/12/2017 08:56,Approx. w-center algo1,,32.1037249,MATCH,35.20994639,MATCH,702.14288,MATCH
89,1c:b9:c4:15:fd:e8,IT-MNG,11,-84,32.1037249,35.20995845,702.14288,03/12/2017 08:56,Approx. w-center algo1,,32.1037249,MATCH,35.20995845,MATCH,702.14288,MATCH
90,3c:52:82:ef:c4:3c,DIRECT-3B-HP DeskJet 3630 series,6,-67,32.1037249,35.20995868,702.2758435,03/12/2017 09:08,Approx. w-center algo1,,32.1037249,MATCH,35.20995868,MATCH,702.2758435,MATCH
91,1c:b9:c4:16:ed:3c,Ariel_University,44,-74,32.10374932,35.20997695,702.5738639,03/12/2017 09:00,Approx. w-center algo1,,32.10374932,MATCH,35.20997695,MATCH,702.5738639,MATCH
92,1c:b9:c4:14:30:3c,Ariel_University,44,-76,32.10374932,35.20997699,702.6309579,03/12/2017 09:00,Approx. w-center algo1,,32.10374932,MATCH,35.20997699,MATCH,702.6309579,MATCH
93,1c:b9:c4:92:af:77, ,40,-72,32.10375433,35.21000471,702.8302349,03/12/2017 09:03,Approx. w-center algo1,,32.10375433,MATCH,35.21000471,MATCH,702.8302349,MATCH
94,1c:b9:c4:94:30:37, ,44,-79,32.10376365,35.21000505,703.1159416,03/12/2017 09:00,Approx. w-center algo1,,32.10376365,MATCH,35.21000505,MATCH,703.1159416,MATCH
95,1c:b9:c4:16:f1:5c,Ariel_University,52,-75,32.10380445,35.21000654,704.1006958,03/12/2017 09:07,Approx. w-center algo1,,32.10380445,MATCH,35.21000654,MATCH,704.1006958,MATCH
96,e4:95:6e:40:87:1a,OOP_course,1,-12,32.1038101,35.21000654,704.2450229,03/12/2017 09:01,Approx. w-center algo1,,32.1038101,MATCH,35.21000654,MATCH,704.2450229,MATCH
97,1c:b9:c4:12:af:7c,Ariel_University,40,-72,32.1038101,35.21000654,704.2450229,03/12/2017 09:03,Approx. w-center algo1,,32.1038101,MATCH,35.21000654,MATCH,704.2450229,MATCH
98,1c:b9:c4:15:ec:3c,Ariel_University,36,-77,32.103838,35.21002217,704.4103268,03/12/2017 09:03,Approx. w-center algo1,,32.103838,MATCH,35.21002217,MATCH,704.4103268,MATCH
99,1c:b9:c4:96:ed:37, ,44,-77,32.10384104,35.21003936,704.4103268,03/12/2017 09:02,Approx. w-center algo1,,32.10384104,MATCH,35.21003936,MATCH,704.4103268,MATCH
100,1c:b9:c4:95:ec:37, ,36,-78,32.1038518,35.21005058,704.7471856,03/12/2017 09:08,Approx. w-center algo1,,32.1038518,MATCH,35.21005058,MATCH,704.7471856,MATCH
101,1c:b9:c4:95:1c:b7, ,36,-90,32.10385601,35.21005263,704.8276915,03/12/2017 09:02,Approx. w-center algo1,,32.10385601,MATCH,35.21005263,MATCH,704.8276915,MATCH
102,1c:b9:c4:94:2b:87, ,44,-88,32.10392739,35.21006092,704.8397895,03/12/2017 09:03,Approx. w-center algo1,,32.10392739,MATCH,35.21006092,MATCH,704.8397895,MATCH
103,1c:b9:c4:96:ed:47, ,36,-91,32.10393489,35.21007474,704.9567757,03/12/2017 09:03,Approx. w-center algo1,,32.10393489,MATCH,35.21007474,MATCH,704.9567757,MATCH
